date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:37	790044/790044	---M--	200	added ('OK')	image/webp	etag:%2267fe7abf-c0e1c%22	https://www.blurmint.art/static/web/images/category/music.webp	C:/webby/opp/blurmint.art/static/web/images/category/music.webp	(from https://www.blurmint.art/)
11:35:37	2059462/2059462	---M--	200	added ('OK')	image/webp	etag:%2267fe7abd-1f6cc6%22	https://www.blurmint.art/static/web/images/category/art.webp	C:/webby/opp/blurmint.art/static/web/images/category/art.webp	(from https://www.blurmint.art/)
11:35:37	1202788/1202788	---M--	200	added ('OK')	image/webp	etag:%2267fe7ac0-125a64%22	https://www.blurmint.art/static/web/images/category/collectibles.webp	C:/webby/opp/blurmint.art/static/web/images/category/collectibles.webp	(from https://www.blurmint.art/)
11:35:38	18498/18498	---M--	200	added ('OK')	image/webp	etag:%2267fe7abe-4842%22	https://www.blurmint.art/static/web/images/category/estate.webp	C:/webby/opp/blurmint.art/static/web/images/category/estate.webp	(from https://www.blurmint.art/)
11:35:38	89394/89394	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:40%20GMT	https://www.blurmint.art/category/estate/	C:/webby/opp/blurmint.art/category/estate/index.html	(from https://www.blurmint.art/)
11:35:38	97661/97661	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:40%20GMT	https://www.blurmint.art/category/memberships/	C:/webby/opp/blurmint.art/category/memberships/index.html	(from https://www.blurmint.art/)
11:35:39	228446/228446	---M--	200	added ('OK')	image/webp	etag:%2267fe7abe-37c5e%22	https://www.blurmint.art/static/web/images/category/memberships.webp	C:/webby/opp/blurmint.art/static/web/images/category/memberships.webp	(from https://www.blurmint.art/)
11:35:39	90901/90901	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:40%20GMT	https://www.blurmint.art/category/photography/	C:/webby/opp/blurmint.art/category/photography/index.html	(from https://www.blurmint.art/)
11:35:39	99244/99244	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20May%202025%2010:35:41%20GMT	https://www.blurmint.art/category/pfps/	C:/webby/opp/blurmint.art/category/pfps/index.html	(from https://www.blurmint.art/)
11:35:40	553964/553964	---M--	200	added ('OK')	image/webp	etag:%2267fe7abc-873ec%22	https://www.blurmint.art/static/web/images/category/photography.webp	C:/webby/opp/blurmint.art/static/web/images/category/photography.webp	(from https://www.blurmint.art/)
